Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
413,Walter Tavares,C,23,ATL,11,0,73,11,19,.579,0,0,,11,19,.579,.579,3,8,.375,7,14,21,3,1,6,5,8,25
414,Jeff Teague,PG,27,ATL,71,70,2017,369,863,.428,96,244,.393,273,619,.441,.483,229,276,.830,31,162,193,423,88,20,194,151,1063
415,Mirza Teletovic,PF,30,PHO,71,1,1447,268,638,.420,156,394,.396,112,244,.459,.542,98,126,.778,43,208,251,74,26,20,65,138,790
416,Garrett Temple,SF,29,WAS,70,43,1752,180,460,.391,80,236,.339,100,224,.446,.478,79,110,.718,31,155,186,120,60,16,54,175,519
417,Jason Terry,SG,38,HOU,63,7,1114,134,327,.410,82,224,.366,52,103,.505,.535,26,31,.839,13,58,71,86,43,8,43,83,376
418,Isaiah Thomas,PG,26,BOS,73,70,2374,528,1232,.429,148,420,.352,380,812,.468,.489,419,474,.884,42,179,221,467,83,6,191,151,1623
419,Lance Thomas,SF,27,NYK,59,5,1313,169,382,.442,44,109,.404,125,273,.458,.500,102,119,.857,34,97,131,53,22,7,57,109,484
420,Hollis Thompson,SG,24,PHI,69,14,1927,241,591,.408,130,339,.383,111,252,.440,.518,62,86,.721,45,201,246,81,31,20,70,166,674
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
421,Jason Thompson,C,29,TOT,37,2,334,34,70,.486,1,5,.200,33,65,.508,.493,34,48,.708,23,74,97,24,11,14,13,61,103
422,Klay Thompson,SG,25,GSW,70,70,2311,573,1214,.472,246,568,.433,327,646,.506,.573,177,204,.868,29,242,271,144,54,41,125,134,1569
423,Tristan Thompson,PF,24,CLE,73,31,2037,224,382,.586,0,0,,224,382,.586,.586,130,207,.628,242,430,672,57,29,41,54,182,578
424,Marcus Thornton,SG,28,TOT,54,6,995,197,491,.401,84,247,.340,113,244,.463,.487,56,65,.862,33,94,127,71,40,4,44,82,534
425,Anthony Tolliver,PF,30,DET,64,4,1213,114,298,.383,88,244,.361,26,54,.481,.530,26,42,.619,35,177,212,50,25,15,23,81,342
426,Axel Toupane,SF,23,DEN,12,0,175,13,43,.302,9,28,.321,4,15,.267,.407,6,7,.857,5,11,16,9,5,4,2,25,41
427,Karl-Anthony Towns,C,20,MIN,73,73,2315,552,1007,.548,23,68,.338,529,939,.563,.560,201,245,.820,205,547,752,130,52,126,162,220,1328
428,P.J. Tucker,SF,30,PHO,73,71,2238,197,487,.405,58,176,.330,139,311,.447,.464,82,115,.713,135,297,432,146,93,20,93,177,534
429,Evan Turner,SG,27,BOS,73,9,2019,302,667,.453,16,76,.211,286,591,.484,.465,132,160,.825,46,316,362,326,70,25,149,120,752
430,Myles Turner,C,19,IND,50,26,1156,228,452,.504,3,14,.214,225,438,.514,.508,76,106,.717,59,215,274,31,19,74,51,128,535
431,Beno Udrih,PG,33,TOT,44,5,707,86,198,.434,15,44,.341,71,154,.461,.472,18,20,.900,8,64,72,116,14,1,53,51,205
432,Jonas Valanciunas,C,23,TOR,51,50,1318,253,446,.567,0,0,,253,446,.567,.567,140,184,.761,161,305,466,40,21,61,71,133,646
433,Anderson Varejao,C,33,TOT,47,0,454,51,113,.451,0,1,.000,51,112,.455,.451,27,40,.675,32,94,126,33,14,10,22,63,129
434,Greivis Vasquez,PG,29,MIL,16,0,361,39,112,.348,14,54,.259,25,58,.431,.411,22,25,.880,4,33,37,71,7,0,30,33,114
435,Rashad Vaughn,SG,19,MIL,62,0,752,56,189,.296,31,102,.304,25,87,.287,.378,11,12,.917,9,60,69,29,18,9,24,57,154
436,Charlie Villanueva,PF,31,DAL,56,4,620,115,301,.382,40,156,.256,75,145,.517,.449,22,24,.917,22,118,140,21,15,15,29,66,292
437,Noah Vonleh,PF,20,POR,70,56,1080,108,260,.415,10,42,.238,98,218,.450,.435,32,43,.744,88,191,279,28,24,19,44,143,258
438,Nikola Vucevic,C,25,ORL,58,57,1845,465,935,.497,2,9,.222,463,926,.500,.498,98,127,.772,162,360,522,165,46,63,113,154,1030
439,Sasha Vujacic,SG,31,NYK,53,17,703,73,212,.344,36,110,.327,37,102,.363,.429,26,33,.788,22,91,113,64,28,3,35,66,208
440,Dwyane Wade,SG,34,MIA,66,65,2010,473,1055,.448,7,38,.184,466,1017,.458,.452,298,379,.786,77,196,273,308,70,37,181,103,1251
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
441,Dion Waiters,SG,24,OKC,69,12,1905,247,618,.400,75,209,.359,172,409,.421,.460,91,128,.711,30,148,178,129,67,11,102,130,660
442,Kemba Walker,PG,25,CHO,72,72,2585,513,1192,.430,158,417,.379,355,775,.458,.497,330,390,.846,52,263,315,377,114,32,153,102,1514
443,John Wall,PG,25,WAS,72,72,2603,541,1269,.426,106,303,.350,435,966,.450,.468,262,331,.792,41,311,352,729,139,54,295,147,1450
444,T.J. Warren,SF,22,PHO,47,4,1070,221,441,.501,28,70,.400,193,371,.520,.533,45,64,.703,57,90,147,44,37,16,32,94,515
445,C.J. Watson,PG,31,ORL,26,2,532,35,112,.313,12,43,.279,23,69,.333,.366,30,35,.857,9,47,56,74,15,4,20,39,112
