Player,Team,Season,Season Type,Games,Personal Fouls PG,Charges Drawn,Off. Fouls Drawn,Off. Fouls,Clear Path Fouls,Defensive 3 Seconds,Shooting Fouls Committed,Lost Ball Fouls,Technical Fouls,Flag. Foul Type 1,Flag. Foul Type 2
Omer Asik,Pelicans,2015-2016,REG,60,1.87,4,9,12,0,11,67,11,0,0,0
Chris Andersen,"Heat, Grizzlies",2015-2016,REG,19,1,0,1,2,0,0,13,0,0,0,0
Mike Dunleavy,Bulls,2015-2016,REG,23,2.13,4,5,0,0,0,35,4,0,0,0
Drew Gooden,Wizards,2015-2016,REG,28,1.32,4,4,0,0,0,25,2,0,0,0
Sasha Kaun,Cavaliers,2015-2016,REG,21,0.52,0,0,1,0,0,9,0,0,0,0
JJ Hickson,"Nuggets, Wizards",2015-2016,REG,29,1.52,0,0,5,0,2,23,6,0,0,0
Alexis Ajinca,Pelicans,2015-2016,REG,52,2.19,1,7,9,0,4,63,11,0,0,0
Anthony Tolliver,Pistons,2015-2016,REG,64,1.27,11,19,4,1,1,58,2,0,0,0
Josh McRoberts,Heat,2015-2016,REG,38,1.68,2,2,5,1,0,38,5,0,0,0
Rasual Butler,Spurs,2015-2016,REG,46,0.24,1,2,0,0,0,9,0,0,0,0
Brandon Rush,Warriors,2015-2016,REG,64,0.75,0,2,1,0,1,36,1,0,0,0
Ramon Sessions,Wizards,2015-2016,REG,73,1.22,0,7,8,1,0,28,4,0,1,0
Caron Butler,Kings,2015-2016,REG,15,1.27,0,0,0,0,0,12,2,0,0,0
Tayshaun Prince,Timberwolves,2015-2016,REG,70,0.86,0,10,2,0,0,40,1,0,0,0
Luis Scola,Raptors,2015-2016,REG,72,2.38,18,24,8,1,1,91,11,0,0,0
Chris Kaman,Trail Blazers,2015-2016,REG,14,0.93,0,0,1,0,0,7,1,0,0,0
Joel Anthony,"Pistons, 76ers",2015-2016,REG,17,0.76,0,0,1,0,0,10,2,0,0,0
CJ Watson,Magic,2015-2016,REG,26,1.5,2,3,2,0,0,28,0,0,0,0
Al Jefferson,Hornets,2015-2016,REG,39,2.46,0,2,6,0,4,73,4,0,0,0
Justin Harper,Pistons,2015-2016,REG,5,0.6,0,0,0,0,0,2,0,0,0,0
Maurice Harkless,Trail Blazers,2015-2016,REG,71,1.48,0,2,8,0,0,78,1,0,0,0
Tyler Zeller,Celtics,2015-2016,REG,54,1.69,3,9,7,0,1,59,9,0,0,0
Andrew Nicholson,Magic,2015-2016,REG,48,1.21,1,2,12,0,0,30,4,0,0,0
John Jenkins,"Mavericks, Suns",2015-2016,REG,35,0.46,0,0,0,0,0,13,0,0,0,0
Jared Cunningham,"Cavaliers, Bucks",2015-2016,REG,44,0.93,4,11,4,0,0,26,1,0,0,0
Tony Wroten,76ers,2015-2016,REG,8,1.38,0,0,4,0,0,5,1,0,0,0
Festus Ezeli,Warriors,2015-2016,REG,40,2.3,0,1,11,0,5,54,11,0,0,0
Orlando Johnson,"Suns, Pelicans",2015-2016,REG,7,1.29,0,0,0,1,1,5,0,0,0,0
Mike Scott,Hawks,2015-2016,REG,68,1.4,0,4,6,0,1,53,16,0,0,0
Kendall Marshall,76ers,2015-2016,REG,24,1,1,3,1,0,0,15,1,0,0,0
Jeremy Lamb,Hornets,2015-2016,REG,59,1.66,0,5,8,0,0,53,5,0,0,0
Harrison Barnes,Warriors,2015-2016,REG,57,2.04,0,5,5,0,0,72,13,0,0,0
Kyle Singler,Thunder,2015-2016,REG,60,1.72,1,6,3,0,0,70,7,0,0,0
Shelvin Mack,"Hawks, Jazz",2015-2016,REG,44,1.14,1,2,1,0,0,22,6,0,0,0
Jon Leuer,Suns,2015-2016,REG,62,1.94,4,7,5,0,5,86,7,0,1,0
Andrew Goudelock,Rockets,2015-2016,REG,2,1,0,0,0,0,0,0,0,0,0,0
Lavoy Allen,Pacers,2015-2016,REG,70,1.89,0,3,8,0,1,93,7,0,0,0
E'Twaun Moore,Bulls,2015-2016,REG,55,1.73,1,4,4,2,0,55,3,0,0,0
Greg Smith,Timberwolves,2015-2016,REG,13,2,0,2,0,0,0,17,3,0,0,0
Michael Kidd-Gilchrist,Hornets,2015-2016,REG,7,1.29,0,0,1,0,0,5,0,0,0,0
Bradley Beal,Wizards,2015-2016,REG,48,2.15,4,11,8,0,0,64,1,0,2,0
Kostas Papanikolaou,Nuggets,2015-2016,REG,26,0.92,0,2,1,0,0,10,2,0,0,0
Robert Sacre,Lakers,2015-2016,REG,21,1.67,2,2,3,0,0,28,3,0,0,0
Hollis Thompson,76ers,2015-2016,REG,70,2.4,4,6,11,2,3,108,15,0,0,0
Anthony Bennett,Raptors,2015-2016,REG,19,0.42,0,0,1,0,0,6,0,0,0,0
Ben McLemore,Kings,2015-2016,REG,60,2.07,0,8,13,0,0,73,4,0,0,0
CJ McCollum,Trail Blazers,2015-2016,REG,73,2.36,0,7,18,0,1,91,5,0,2,0
Cody Zeller,Hornets,2015-2016,REG,65,2.94,3,12,20,0,2,105,19,0,0,0
Erick Green,"Nuggets, Jazz",2015-2016,REG,9,0.44,0,0,0,0,0,4,0,0,0,0
Jeff Withey,Jazz,2015-2016,REG,46,1.5,0,1,8,0,5,45,5,0,0,0
Lorenzo Brown,"Suns, Pistons",2015-2016,REG,8,0.5,0,0,2,0,0,1,0,0,0,0
Mason Plumlee,Trail Blazers,2015-2016,REG,75,3.12,4,9,27,0,6,137,24,0,2,0
Mike Muscala,Hawks,2015-2016,REG,54,1.22,1,1,3,0,1,46,2,0,0,0
Allen Crabbe,Trail Blazers,2015-2016,REG,74,2.43,0,2,8,0,0,117,2,0,0,0
Alex Len,Suns,2015-2016,REG,70,2.89,0,2,29,0,10,121,16,0,0,0
Nerlens Noel,76ers,2015-2016,REG,62,2.82,7,15,12,0,0,109,16,0,0,1
Chris Copeland,Bucks,2015-2016,REG,24,0.71,0,0,1,0,3,11,0,0,0,0
Pablo Prigioni,Clippers,2015-2016,REG,51,1.31,3,10,1,0,0,22,1,0,0,0
Brian Roberts,"Hornets, Trail Blazers",2015-2016,REG,46,0.63,0,4,1,0,0,23,0,0,0,0
Henry Sims,Nets,2015-2016,REG,5,2.2,0,0,2,0,0,5,1,0,0,0
Willie Reed,Nets,2015-2016,REG,36,1.19,8,12,3,0,0,27,7,0,0,0
Chris Johnson,Jazz,2015-2016,REG,65,1.49,0,1,3,1,0,65,6,0,1,0
Justin Holiday,"Hawks, Bulls",2015-2016,REG,44,1.09,3,9,3,0,0,30,2,0,0,0
Jorge Gutierrez,Hornets,2015-2016,REG,7,0.29,1,1,0,0,0,1,0,0,0,0
Aron Baynes,Pistons,2015-2016,REG,73,1.89,6,9,25,0,1,81,12,0,1,0
Otto Porter,Wizards,2015-2016,REG,66,2.24,3,14,9,0,0,85,3,0,0,0
Norris Cole,Pelicans,2015-2016,REG,45,2.27,0,5,7,0,0,58,3,0,0,0
Alex Stepheson,"Clippers, Grizzlies",2015-2016,REG,8,1.5,0,0,0,0,0,10,2,0,0,0
Kevon Looney,Warriors,2015-2016,REG,5,0.4,0,0,0,0,0,2,0,0,0,0
Rashad Vaughn,Bucks,2015-2016,REG,62,0.92,0,0,2,0,2,39,1,0,0,0
Christian Wood,76ers,2015-2016,REG,15,0.67,0,0,1,0,0,8,0,0,0,0
Jordan Mickey,Celtics,2015-2016,REG,15,0.27,0,0,0,0,0,3,0,0,0,0
Rondae Hollis-Jefferson,Nets,2015-2016,REG,23,2.22,0,0,3,0,0,30,1,0,0,0
Terry Rozier,Celtics,2015-2016,REG,33,0.58,0,0,1,0,0,14,0,0,0,0
Norman Powell,Raptors,2015-2016,REG,40,1.08,0,0,2,0,0,25,0,0,0,0
Branden Dawson,Clippers,2015-2016,REG,3,0.67,0,0,0,0,0,2,0,0,0,0
Jarell Martin,Grizzlies,2015-2016,REG,19,1.89,0,0,4,0,1,23,5,0,0,0
Bobby Portis,Bulls,2015-2016,REG,53,1.7,0,0,8,0,0,47,11,0,0,0
Joe Young,Pacers,2015-2016,REG,36,0.78,0,0,3,0,0,17,0,0,0,0
Alan Williams,Suns,2015-2016,REG,3,2,0,0,3,0,0,3,1,0,0,0
Coty Clarke,Celtics,2015-2016,REG,3,0,0,0,0,0,0,0,0,0,0,0
J.J. O'Brien,Jazz,2015-2016,REG,2,0.5,0,0,0,0,0,1,0,0,0,0
Marcelo Huertas,Lakers,2015-2016,REG,45,1.38,0,0,3,0,0,31,1,0,0,0
Axel Toupane,Nuggets,2015-2016,REG,14,2.14,0,0,0,0,0,16,1,0,0,0
Luis Montero,Trail Blazers,2015-2016,REG,8,0.13,0,0,0,0,0,1,0,0,0,0
Cristiano Felicio,Bulls,2015-2016,REG,22,0.59,0,0,1,0,1,10,2,0,0,0
Boban Marjanovic,Spurs,2015-2016,REG,49,0.94,0,0,4,0,1,35,7,0,0,0
Bryce Dejean-Jones,Pelicans,2015-2016,REG,14,1.21,0,0,0,0,0,9,1,0,0,0
Mario Hezonja,Magic,2015-2016,REG,70,1.5,0,0,10,0,2,65,3,0,0,0
Chris McCullough,Nets,2015-2016,REG,15,1.6,0,0,2,0,3,18,0,0,0,0
Pat Connaughton,Trail Blazers,2015-2016,REG,30,0.13,0,0,0,0,0,4,0,0,0,0
Josh Richardson,Heat,2015-2016,REG,43,2.07,0,0,2,1,0,53,7,0,0,0
Sam Dekker,Rockets,2015-2016,REG,3,0,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,Cavaliers,2015-2016,REG,73,2.49,0,2,16,0,2,112,26,0,0,0
Brandon Knight,Suns,2015-2016,REG,51,2.37,5,17,8,0,1,66,3,0,0,0
Jimmer Fredette,"Pelicans, Knicks",2015-2016,REG,6,0.33,0,0,0,0,0,2,0,0,0,0
Klay Thompson,Warriors,2015-2016,REG,71,1.89,0,1,15,0,1,80,6,0,1,0
Alec Burks,Jazz,2015-2016,REG,28,2.46,3,9,6,0,0,40,4,0,0,0
Kawhi Leonard,Spurs,2015-2016,REG,66,1.79,0,11,13,0,1,60,8,0,0,0
Donatas Motiejunas,"Rockets, Pistons",2015-2016,REG,30,1.9,7,14,3,0,1,26,2,0,0,0
Nikola Mirotic,Bulls,2015-2016,REG,57,2.07,1,1,11,0,0,78,1,0,0,0
RJ Hunter,Celtics,2015-2016,REG,32,0.91,0,0,2,0,0,20,0,0,0,0
Richaun Holmes,76ers,2015-2016,REG,51,1.8,0,0,5,0,4,68,10,0,1,0
Jerian Grant,Knicks,2015-2016,REG,69,1.22,0,0,5,0,0,49,5,0,0,0
Darrun Hilliard,Pistons,2015-2016,REG,35,0.74,0,0,2,0,0,16,0,0,0,0
Justise Winslow,Heat,2015-2016,REG,70,2.37,0,0,12,0,2,101,12,0,1,0
Willie Cauley-Stein,Kings,2015-2016,REG,58,2.1,0,0,4,0,1,78,3,0,0,0
Kelly Oubre,Wizards,2015-2016,REG,57,1.46,0,0,6,1,3,56,2,0,0,0
Frank Kaminsky,Hornets,2015-2016,REG,72,1.6,0,0,14,0,1,76,8,0,0,0
Cameron Payne,Thunder,2015-2016,REG,51,1.37,0,0,2,0,0,36,2,0,0,0
Myles Turner,Pacers,2015-2016,REG,51,2.57,0,0,17,0,0,81,3,0,0,0
Trey Lyles,Jazz,2015-2016,REG,72,1.42,0,0,10,0,7,65,4,0,0,1
Stanley Johnson,Pistons,2015-2016,REG,67,2.45,0,0,22,0,0,90,9,0,1,0
Jordan Hamilton,Pelicans,2015-2016,REG,2,2.5,0,0,0,0,0,3,0,0,0,0
Jabari Parker,Bucks,2015-2016,REG,68,2.04,0,4,8,0,4,82,4,0,0,0
Tarik Black,Lakers,2015-2016,REG,32,1.88,1,3,4,0,1,41,5,0,0,0
Langston Galloway,Knicks,2015-2016,REG,75,2.2,1,6,4,0,0,99,4,0,0,0
Joe Ingles,Jazz,2015-2016,REG,73,1.18,2,5,7,0,1,40,2,0,0,0
Jarell Eddie,Wizards,2015-2016,REG,22,0.18,0,1,0,0,0,4,0,0,0,0
Xavier Munford,Grizzlies,2015-2016,REG,6,1.17,0,0,0,0,0,2,1,0,0,0
TJ McConnell,76ers,2015-2016,REG,73,1.48,0,0,2,1,0,72,1,0,0,0
Briante Weber,Grizzlies,2015-2016,REG,6,1.83,0,0,0,0,0,8,0,0,0,0
Emmanuel Mudiay,Nuggets,2015-2016,REG,61,2.05,0,0,12,0,1,85,6,0,0,0
Tyus Jones,Timberwolves,2015-2016,REG,29,0.79,0,0,1,1,0,15,0,0,0,0
Tim Frazier,"Trail Blazers, Pelicans",2015-2016,REG,42,1.1,0,4,0,0,0,26,2,0,0,0
Damjan Rudez,Timberwolves,2015-2016,REG,28,1.11,0,0,3,0,1,17,0,0,0,0
Walter Tavares,Hawks,2015-2016,REG,11,0.73,0,0,0,0,0,6,1,0,0,0
Bryce Cotton,Suns,2015-2016,REG,3,0.67,0,0,0,0,0,2,0,0,0,0
Mitch McGary,Thunder,2015-2016,REG,20,0.5,0,0,0,0,0,9,2,0,0,0
Eric Moreland,Kings,2015-2016,REG,5,0.4,0,0,0,0,0,2,2,0,0,0
Josh Huestis,Thunder,2015-2016,REG,1,1,0,0,0,0,0,1,0,0,0,0
Shayne Whittington,Pacers,2015-2016,REG,5,0.8,0,0,0,0,0,3,0,0,0,0
Clint Capela,Rockets,2015-2016,REG,69,2.49,8,9,12,0,6,110,19,0,0,0
Damien Inglis,Bucks,2015-2016,REG,16,0.44,0,0,0,0,0,6,0,0,0,0
Bruno Caboclo,Raptors,2015-2016,REG,5,0,0,0,0,0,0,0,0,0,0,0
Nikola Jokic,Nuggets,2015-2016,REG,73,2.59,3,12,13,0,4,106,22,0,0,0
Cliff Alexander,Trail Blazers,2015-2016,REG,8,0.13,0,0,0,0,0,1,0,0,0,0
Anthony Brown,Lakers,2015-2016,REG,29,1.17,0,0,0,0,0,23,1,0,1,0
Aaron Harrison,Hornets,2015-2016,REG,18,0.39,0,0,0,0,0,7,0,0,0,0
James Anderson,Kings,2015-2016,REG,44,0.95,0,2,4,0,0,29,1,0,0,0
Elliot Williams,Grizzlies,2015-2016,REG,5,0.4,0,0,0,0,0,1,0,0,0,0
Greivis Vasquez,Bucks,2015-2016,REG,16,2.06,0,3,7,0,0,17,0,0,0,0
Tibor Pleiss,Jazz,2015-2016,REG,12,1.58,0,0,3,0,1,12,0,0,0,0
Nemanja Bjelica,Timberwolves,2015-2016,REG,52,2.52,0,0,5,0,3,77,15,0,0,0
Jeremy Evans,Mavericks,2015-2016,REG,30,0.63,0,1,1,0,0,15,0,0,0,0
Gordon Hayward,Jazz,2015-2016,REG,72,2.28,0,13,30,1,1,78,6,0,0,0
Wesley Johnson,Clippers,2015-2016,REG,73,2.16,3,5,4,0,2,101,7,0,0,0
Jodie Meeks,Pistons,2015-2016,REG,2,1,0,0,0,0,0,0,0,0,0,0
Avery Bradley,Celtics,2015-2016,REG,69,2.12,1,9,6,0,1,85,2,0,0,0
Kevin Seraphin,Knicks,2015-2016,REG,43,1.3,0,2,7,0,1,41,5,0,0,0
Cole Aldrich,Clippers,2015-2016,REG,51,2.31,1,3,14,1,4,69,9,0,0,0
Delon Wright,Raptors,2015-2016,REG,23,0.22,0,0,0,0,0,3,0,0,0,0
Ish Smith,"Pelicans, 76ers",2015-2016,REG,69,1.65,4,13,3,0,0,69,4,0,0,0
Elijah Millsap,Jazz,2015-2016,REG,20,1.65,0,2,1,0,0,15,2,0,0,0
Lance Thomas,Knicks,2015-2016,REG,59,1.85,0,15,5,1,0,69,3,0,1,0
Kyrie Irving,Cavaliers,2015-2016,REG,46,2,5,10,6,0,0,45,3,0,0,0
Derrick Williams,Knicks,2015-2016,REG,73,0.85,1,2,6,0,1,40,4,0,0,0
Gary Neal,Wizards,2015-2016,REG,40,1.38,3,5,5,0,1,29,7,0,0,0
Donald Sloan,Nets,2015-2016,REG,53,1.23,1,4,6,1,0,30,2,0,0,0
Timofey Mozgov,Cavaliers,2015-2016,REG,68,2.1,2,4,13,0,3,96,7,0,0,0
Marcus Thornton,"Rockets, Pistons, Wizards",2015-2016,REG,55,1.51,0,2,5,0,0,56,7,0,0,0
Andrew Wiggins,Timberwolves,2015-2016,REG,73,2.04,1,8,18,0,1,89,4,0,2,0
Ray McCallum,"Spurs, Grizzlies",2015-2016,REG,40,0.73,0,1,1,0,0,19,0,0,0,0
Matthew Dellavedova,Cavaliers,2015-2016,REG,67,2.33,5,15,9,1,0,66,6,0,3,0
Raul Neto,Jazz,2015-2016,REG,73,1.59,2,17,1,1,0,53,4,0,0,0
Ryan Kelly,Lakers,2015-2016,REG,28,1.18,2,5,3,0,1,20,1,0,0,0
Seth Curry,Kings,2015-2016,REG,36,0.72,2,3,2,0,0,15,0,0,0,0
Troy Daniels,Hornets,2015-2016,REG,38,0.82,0,0,0,0,0,21,1,0,0,0
Jonathon Simmons,Spurs,2015-2016,REG,51,1.88,0,0,7,0,1,49,5,0,0,0
Thanasis Antetokounmpo,Knicks,2015-2016,REG,2,1,0,0,0,0,0,2,0,0,0,0
Russ Smith,Grizzlies,2015-2016,REG,15,0.33,0,1,0,0,0,4,0,0,0,0
Shabazz Napier,Magic,2015-2016,REG,52,0.73,0,4,3,0,0,20,0,0,0,0
James Ennis,"Heat, Grizzlies",2015-2016,REG,13,0.15,0,0,0,0,0,1,0,0,0,0
Phil Pressey,"76ers, Suns",2015-2016,REG,23,1.22,0,1,1,0,0,18,0,0,0,0
Lucas Nogueira,Raptors,2015-2016,REG,25,0.84,0,0,3,0,1,10,1,0,0,0
Reggie Bullock,Pistons,2015-2016,REG,32,0.72,0,2,2,0,0,13,0,0,0,0
Robert Covington,76ers,2015-2016,REG,59,3.41,1,7,15,2,2,126,4,0,0,0
Shabazz Muhammad,Timberwolves,2015-2016,REG,74,1.18,0,6,9,0,1,56,4,0,2,0
Shane Larkin,Nets,2015-2016,REG,69,1.55,2,17,3,0,0,57,2,0,0,0
Steven Adams,Thunder,2015-2016,REG,72,2.76,0,6,20,0,1,116,35,0,0,0
Tim Hardaway Jr.,Hawks,2015-2016,REG,44,0.95,2,5,3,0,0,23,2,0,0,0
Tony Snell,Bulls,2015-2016,REG,62,1.56,2,4,11,0,2,53,2,0,0,0
Trey Burke,Jazz,2015-2016,REG,64,1.34,0,1,6,0,0,52,3,0,0,0
Sergey Karasev,Nets,2015-2016,REG,37,0.54,2,8,0,0,0,12,0,0,0,0
Tyler Ennis,Bucks,2015-2016,REG,38,1.11,1,3,1,0,0,23,1,0,0,0
Jordan Clarkson,Lakers,2015-2016,REG,71,2.15,0,10,16,0,0,82,8,0,0,0
Devyn Marble,Magic,2015-2016,REG,22,0.82,1,1,0,0,0,12,0,0,0,0
TJ Warren,Suns,2015-2016,REG,47,2,0,4,5,0,2,61,4,0,0,0
Lamar Patterson,Hawks,2015-2016,REG,35,1.29,1,3,0,0,0,31,1,0,0,0
Kyle Anderson,Spurs,2015-2016,REG,70,1.2,1,10,7,0,0,48,3,0,0,0
Dwight Powell,Mavericks,2015-2016,REG,63,1.84,1,10,9,0,2,62,16,0,0,0
Adreian Payne,Timberwolves,2015-2016,REG,46,1.54,1,2,6,0,2,44,8,0,0,0
Cameron Bairstow,Bulls,2015-2016,REG,18,1.06,0,1,1,0,0,14,3,0,0,0
Johnny O'Bryant,Bucks,2015-2016,REG,60,1.5,4,7,2,0,1,47,12,0,0,0
James Michael McAdoo,Warriors,2015-2016,REG,38,0.92,0,1,6,0,1,21,3,0,0,0
Jarnell Stokes,"Grizzlies, Heat",2015-2016,REG,7,0.14,0,0,0,0,0,1,0,0,0,0
Sean Kilpatrick,"Nuggets, Nets",2015-2016,REG,22,1.09,0,4,2,0,0,17,0,0,0,0
Cory Jefferson,Suns,2015-2016,REG,6,1.33,0,1,0,0,0,5,0,0,0,0
Doug McDermott,Bulls,2015-2016,REG,72,1.51,1,6,6,0,0,66,8,0,0,0
KJ McDaniels,Rockets,2015-2016,REG,30,0.87,0,0,1,0,0,19,2,0,0,0
CJ Wilcox,Clippers,2015-2016,REG,15,0.4,0,0,0,0,0,3,0,0,0,0
Spencer Dinwiddie,Pistons,2015-2016,REG,9,1.78,0,3,0,0,0,11,0,0,0,0
Nik Stauskas,76ers,2015-2016,REG,66,1.5,2,8,1,0,1,76,1,0,0,0
Jordan Adams,Grizzlies,2015-2016,REG,2,1,0,0,0,0,0,0,0,0,0,0
Cleanthony Early,Knicks,2015-2016,REG,11,0.27,0,0,0,0,1,3,0,0,0,0
Glenn Robinson,Pacers,2015-2016,REG,40,0.45,0,1,0,0,1,11,1,0,0,0
James Young,Celtics,2015-2016,REG,27,0.63,0,1,2,0,0,12,0,0,0,0
Joe Harris,Cavaliers,2015-2016,REG,5,0.2,0,0,0,0,0,1,0,0,0,0
Keith Appling,Magic,2015-2016,REG,5,1,0,0,0,0,0,2,0,0,0,0
