Player,Team,Season,Season Type,Games,Personal Fouls PG,Charges Drawn,Off. Fouls Drawn,Off. Fouls,Clear Path Fouls,Defensive 3 Seconds,Shooting Fouls Committed,Lost Ball Fouls,Technical Fouls,Flag. Foul Type 1,Flag. Foul Type 2
Greg Monroe,Bucks,2015-2016,REG,72,2.11,10,21,11,1,3,95,9,3,0,0
Montrezl Harrell,Rockets,2015-2016,REG,38,1.24,0,0,2,0,1,33,2,2,0,0
Enes Kanter,Thunder,2015-2016,REG,74,1.96,0,0,31,0,1,92,10,2,0,0
Archie Goodwin,Suns,2015-2016,REG,50,1.42,2,17,4,0,1,45,1,2,0,0
Al-Farouq Aminu,Trail Blazers,2015-2016,REG,75,2.09,1,15,15,1,0,86,6,2,0,0
Jarrett Jack,Nets,2015-2016,REG,32,2.41,3,8,4,0,1,44,3,2,0,0
Trevor Booker,Jazz,2015-2016,REG,71,2.17,2,5,17,0,1,80,25,2,0,0
Eric Bledsoe,Suns,2015-2016,REG,31,2.42,6,16,9,0,2,39,5,2,0,0
Ed Davis,Trail Blazers,2015-2016,REG,74,2.41,0,5,16,0,2,118,20,2,0,1
Omri Casspi,Kings,2015-2016,REG,67,2.25,2,10,8,1,1,84,7,2,1,0
Gerald Green,Heat,2015-2016,REG,62,1.74,1,4,9,0,1,67,1,2,0,0
Evan Fournier,Magic,2015-2016,REG,70,2.69,3,17,9,0,2,93,4,2,0,0
Tyreke Evans,Pelicans,2015-2016,REG,25,2.64,1,3,4,0,1,36,0,2,0,0
Kevin Love,Cavaliers,2015-2016,REG,69,2,8,18,15,0,0,70,18,2,0,0
Goran Dragic,Heat,2015-2016,REG,63,2.54,5,17,16,0,0,88,3,2,0,0
Taj Gibson,Bulls,2015-2016,REG,72,2.5,3,7,19,0,6,97,22,2,0,0
Elfrid Payton,Magic,2015-2016,REG,64,2.27,1,8,12,0,0,70,4,2,0,0
Rajon Rondo,Kings,2015-2016,REG,69,2.43,7,19,9,0,2,83,9,2,0,0
Rodney Hood,Jazz,2015-2016,REG,71,2.66,5,9,15,3,4,120,10,2,0,1
Jose Juan Barea,Mavericks,2015-2016,REG,68,1.53,1,33,6,0,1,53,1,2,0,0
Marcin Gortat,Wizards,2015-2016,REG,67,2.54,9,24,29,1,9,92,25,2,0,0
Roy Hibbert,Lakers,2015-2016,REG,73,3.16,0,4,22,1,5,161,13,2,1,0
Marreese Speights,Warriors,2015-2016,REG,63,1.63,6,19,14,0,2,50,6,2,1,0
Darrell Arthur,Nuggets,2015-2016,REG,67,2.58,2,6,11,1,4,108,6,2,0,0
George Hill,Pacers,2015-2016,REG,66,2.05,9,25,11,0,0,71,7,2,1,0
Thaddeus Young,Nets,2015-2016,REG,72,2.5,14,24,15,0,1,98,15,2,1,0
Nick Young,Lakers,2015-2016,REG,54,0.93,1,2,3,0,0,26,2,2,0,1
Chandler Parsons,Mavericks,2015-2016,REG,61,1.87,4,17,8,0,2,67,7,2,0,0
Tyler Johnson,Heat,2015-2016,REG,36,1.83,1,8,4,0,0,45,1,2,0,0
JJ Redick,Clippers,2015-2016,REG,69,1.9,5,23,3,0,0,83,9,2,0,0
Jimmy Butler,Bulls,2015-2016,REG,58,1.86,7,12,14,0,0,70,2,2,0,0
Jonas Valanciunas,Raptors,2015-2016,REG,52,2.6,0,1,20,0,8,78,18,2,0,0
Tony Allen,Grizzlies,2015-2016,REG,59,2.75,1,5,8,0,0,84,13,2,1,0
Nene,Wizards,2015-2016,REG,49,2.67,6,14,14,0,1,70,5,2,1,0
Tyson Chandler,Suns,2015-2016,REG,60,2.18,3,7,19,0,8,79,14,2,2,0
D'Angelo Russell,Lakers,2015-2016,REG,72,1.69,0,0,10,1,0,76,3,2,0,0
Andre Iguodala,Warriors,2015-2016,REG,60,1.62,0,9,4,0,1,73,2,2,0,0
Tobias Harris,"Magic, Pistons",2015-2016,REG,69,1.97,0,7,19,0,3,82,3,2,0,0
Bojan Bogdanovic,Nets,2015-2016,REG,72,1.51,1,6,8,0,1,54,1,2,0,0
Bismack Biyombo,Raptors,2015-2016,REG,73,2.84,0,4,26,0,10,123,19,2,0,0
Terrence Ross,Raptors,2015-2016,REG,64,1.64,0,4,3,0,2,61,1,2,0,0
Karl-Anthony Towns,Timberwolves,2015-2016,REG,74,3.01,0,0,40,0,4,139,21,2,0,0
Vince Carter,Grizzlies,2015-2016,REG,52,1.63,1,7,7,0,0,60,5,2,0,0
John Henson,Bucks,2015-2016,REG,49,2.27,0,3,6,0,7,68,10,2,2,0
Iman Shumpert,Cavaliers,2015-2016,REG,48,2.23,0,10,8,0,0,67,2,2,0,0
Kevin Garnett,Timberwolves,2015-2016,REG,38,1.84,1,5,8,0,1,32,1,2,0,0
Nikola Vucevic,Magic,2015-2016,REG,58,2.66,0,3,12,1,14,120,5,2,1,0
Amir Johnson,Celtics,2015-2016,REG,71,2.65,3,10,15,0,9,97,19,1,2,0
Lou Williams,Lakers,2015-2016,REG,66,1.62,1,10,4,0,0,72,3,1,0,0
Aaron Gordon,Magic,2015-2016,REG,72,1.99,5,8,16,0,1,74,10,1,0,0
Monta Ellis,Pacers,2015-2016,REG,73,2.19,14,26,12,0,0,99,8,1,0,0
Jerryd Bayless,Bucks,2015-2016,REG,51,2.18,1,14,3,0,0,74,3,1,1,0
Brook Lopez,Nets,2015-2016,REG,71,2.99,0,6,39,0,12,124,21,1,0,0
David Lee,"Celtics, Mavericks",2015-2016,REG,47,2.04,1,5,8,0,3,58,7,1,2,0
Jerami Grant,76ers,2015-2016,REG,70,2.81,16,32,26,0,0,115,6,1,0,0
Anthony Davis,Pelicans,2015-2016,REG,61,2.43,3,9,18,1,1,97,13,1,0,0
Joffrey Lauvergne,Nuggets,2015-2016,REG,53,2,0,1,12,0,3,59,19,1,0,0
Ian Clark,Warriors,2015-2016,REG,59,0.92,0,1,2,0,0,34,0,1,0,0
Trevor Ariza,Rockets,2015-2016,REG,73,2.22,4,9,8,0,0,83,11,1,0,0
Andrew Bogut,Warriors,2015-2016,REG,63,3.14,7,9,12,0,6,106,12,1,1,0
Rudy Gay,Kings,2015-2016,REG,64,2.64,6,11,11,0,3,112,3,1,0,0
Jordan McRae,"Suns, Cavaliers",2015-2016,REG,17,0.59,0,1,0,0,0,8,0,1,0,0
Nick Collison,Thunder,2015-2016,REG,54,1.85,13,16,7,0,2,58,12,1,1,0
Markel Brown,Nets,2015-2016,REG,53,1.4,1,8,0,0,0,50,2,1,0,0
David West,Spurs,2015-2016,REG,72,1.82,0,2,13,0,8,74,17,1,0,0
Alan Anderson,Wizards,2015-2016,REG,9,1.89,0,0,0,0,0,11,0,1,0,0
Gary Harris,Nuggets,2015-2016,REG,69,1.9,1,5,7,1,1,84,7,1,1,0
Boris Diaw,Spurs,2015-2016,REG,73,1.36,0,7,6,0,2,60,5,1,0,0
Ronnie Price,Suns,2015-2016,REG,54,2.52,11,22,2,0,0,78,1,1,0,0
D.J. Augustin,"Thunder, Nuggets",2015-2016,REG,55,1.42,3,15,5,0,0,51,7,1,0,0
Jason Thompson,"Warriors, Raptors",2015-2016,REG,38,1.66,0,1,5,0,0,42,10,1,0,0
Noah Vonleh,Trail Blazers,2015-2016,REG,71,2.07,0,1,19,0,3,69,17,1,0,0
Mike Miller,Nuggets,2015-2016,REG,43,1.14,0,1,4,0,0,28,2,1,0,0
Larry Nance Jr.,Lakers,2015-2016,REG,56,1.98,0,0,8,0,1,68,13,1,0,0
Patrick Patterson,Raptors,2015-2016,REG,71,1.69,2,10,9,0,3,73,7,1,1,0
Luke Babbitt,Pelicans,2015-2016,REG,39,1.72,0,2,6,0,0,39,6,1,0,0
Toney Douglas,Pelicans,2015-2016,REG,52,2.17,0,4,6,0,0,62,3,1,1,0
Andre Miller,"Timberwolves, Spurs",2015-2016,REG,37,1.19,0,3,1,0,0,17,2,1,1,0
Jonas Jerebko,Celtics,2015-2016,REG,70,1.81,2,13,8,0,2,71,14,1,0,0
Hassan Whiteside,Heat,2015-2016,REG,64,2.66,2,5,25,0,10,95,24,1,0,1
Alonzo Gee,Pelicans,2015-2016,REG,73,2.32,0,8,9,0,0,94,6,1,0,0
